season,week,team,inactive_tokens,inactive_count
2024,4,GB,brentoncox:DL:1|carringtonvalentine:CB:1|colbywooden:DL:1|jairealexander:CB:1|jordanmorgan:T/G:1|kitanoladapo:S:1|travisglover:T:1,7
2024,4,HOU,dameonpierce:RB:1|jamalhill:LB:1|jimmieward:S:1|joemixon:RB:1|nickbroeker:G:1|tankdell:WR:1,6
2024,4,IND,anthonygould:WR:1|blakefreeland:OT:1|gerardavery:DE:0|kennymoore:CB:1|kwitypaye:DE:1|ryankelly:C:1|samehlinger:QB:1,7
2024,4,JAX,colevanlanen:OL:1|darnellsavage:S:1|devinlloyd:LB:1|evanengram:TE:1|javonfoster:OL:1|jordanjefferson:DT:1|mylescole:DE:1,7
2024,4,KC,cjhanson:OL:1|ethandriskell:OT:1|marlontuipulotu:DL:1|mikedanna:DE:0,4
2024,4,LAC,deaneleonard:DB:1|jaasirtaylor:DB:0|joealt:OL:1|joeybosa:OLB:1|juniorcolson:LB:1|kimanividal:RB:1|rashawnslater:OL:1,7
2024,4,LAR,brennanjackson:OLB:1|codyschrader:RB:1|cooperkupp:WR:1|deshaunjohnson:DE:0|geronchristian:OL:1|stetsonbennett:QB:1,6
2024,4,LV,davanteadams:WR:1|decamerionrichardson:CB:1|divinedeablo:LB:1|kanaimauga:LB:1|maxxcrosby:DE:1|michaelmayer:TE:1|thayermunford:RT:1,7
2024,4,MIA,davidlong:LB:1|kendalfuller:CB:0|mohamedkamara:LB:1|raheemmostert:RB:1|skylarthompson:QB:1|terronarmstead:OT:1,6
2024,4,MIN,brettrypien:QB:1|dwightmcglothern:CB:1|fabianmoreau:CB:1|ivanpace:LB:1|levidrakerodriguez:DL:1|trishtonjackson:WR:1|walterrouse:T:1,7
2024,4,NE,anferneejennings:LB:1|jaheimbell:TE:1|jamreekromah:DE:1|joemilton:QB:1|michaeljordan:OL:0|vederianlowe:OT:1,6
2024,4,NO,atperry:WR:1|cesarruiz:G:1|dallinholker:TE:1|demariodavis:LB:1|johnridgeway:DT:1|spencerrattler:QB:1,6
2024,4,NYG,adoreejackson:CB:1|andruphillips:CB:1|anthonyjohnson:S:1|bentonwhitley:OLB:1|boogiebasham:OLB:0|jakekubas:G:1|tommydevito:QB:1,7
2024,4,NYJ,braidenmcgregor:DE:1|carterwarren:OT:1|cjmosley:LB:1|izzyabanikanda:RB:0|jarrickbernardconverse:CB:1|leonardtaylor:DL:1|morganmoses:OT:1,7
2024,4,PHI,ajbrown:WR:1|byronyoung:DT:1|devinwhite:LB:1|devontasmith:WR:1|lanejohnson:T:1|tannermckee:QB:1|trevorkeegan:G:1,7
2024,4,PIT,alexhighsmith:LB:1|dariusrush:CB:1|isaacseumalo:OG:1|jaylenwarren:RB:1|mycolepruitt:TE:1|romanwilson:WR:1|russellwilson:QB:1,7
2024,4,SEA,boyemafe:LB:1|byronmurphy:DT:1|jeromebaker:LB:1|leonardwilliams:DE:1|michaeljerrel:OT:0|sataoalaumea:G:1|uchennanwosu:LB:1,7
2024,4,SF,benbartch:OL:1|darrellluter:CB:1|joshuadobbs:QB:1|ronniebell:WR:1|talanoahufanga:S:1,5
2024,4,TB,antoinewinfield:S:1|calijahkancey:DL:1|devinculp:TE:1|jakecamarda:P:1|jalenmcmillan:WR:1|joseramirez:OLB:1|lukegoedeke:OT:1,7
2024,4,TEN,aligaye:LB:1|davidmartinrobinson:TE:1|jaelynduncan:OT:1|jameswilliams:LB:1|jefferysimmons:DL:1|juliuswood:DB:1|thomasodukoya:TE:1,7
2024,4,WAS,austinekeler:RB:1|chrispaul:G:1|clelinferrell:DE:1|darrickforrest:S:1|dominiquehampton:LB:1|jamisoncrowder:WR:1|samhartman:QB:1,7
2024,5,ARI,garrettwilliams:CB:1|isaiahadams:OL:1|mattprater:K:1|travisvokolek:TE:1|victordimukeje:LB:1|xavierthomas:LB:1|xavierweaver:WR:1,7
2024,5,ATL,brandondorlus:DL:1|brandonparker:OT:1|elijahwilkinson:OL:1|jasemcclellan:RB:1|jovaughngwyn:OL:1|kentaviusstreet:DL:1|troyandersen:ILB:1,7
2024,5,BAL,adisaisaac:OLB:1|andrewvorhees:OL:1|beaubrade:FS:1|deonteharty:WR:1|devontezwalker:WR:1|nicksamac:C:1,6
2024,5,BUF,austinjohnson:DT:1|edefuanulofoshio:LB:1|edoliver:DT:1|khalilshakir:WR:1|taronjohnson:CB:1|taylorrapp:SS:1|willclapp:C:1,7
2024,5,CAR,andrewraym:C:1|jarrettkingston:OL:1|jaydenpeevy:DL:1|joseyjewell:LB:1|mikeboone:RB:1|russyeast:S:1,6
2024,5,CHI,dominiquerobinson:DL:1|khariblasingame:FB:1|terellsmith:CB:1|velusjones:WR:1|zacchpickens:DL:1,5
2024,5,CIN,cedjohnson:DE:0|mikehilton:CB:1|sheldonrankins:DT:1|tannerhudson:TE:1|tannermclachlan:TE:1|trentirwin:WR:0,6
2024,5,CLE,dorianthompsonrobinson:QB:1|jackconklin:OT:1|jamarithrash:WR:1|jameshudson:OT:1|javioncohen:G:1|jordanhicks:LB:1|kahlefhailassie:CB:1,7
2024,5,DAL,caelencarson:CB:1|deucevaughn:RB:1|johnstephens:TE:1|kjhenry:DE:1|mattwaletzko:OT:1|micahparsons:LB:1|treylance:QB:1,7
2024,5,DEN,devaughvele:WR:0|eyiomauwazurike:DL:1|gregdulcich:TE:1|krisabramsdraine:CB:1|zachwilson:QB:1,5
2024,5,GB,brentoncox:DE:1|christianwatson:WR:1|devontewyatt:DL:1|jairealexander:CB:1|jordanmorgan:OL:1|travisglover:OL:1,6
2024,5,HOU,dameonpierce:RB:1|derekbarnett:DE:1|jakehansen:OLB:1|joemixon:RB:1|stevensims:WR:1|tytushoward:OT:1,6
2024,5,IND,anthonygould:WR:1|anthonyrichardson:QB:1|blakefreeland:T:1|jonathantaylor:RB:1|kennymoore:CB:1|kwitypaye:DE:1|ryankelly:C:1,7
2024,5,JAX,colevanlanen:OL:1|danielthomas:S:1|evanengram:TE:1|javonfoster:OL:1|jordanjefferson:DT:1|mylescole:DE:1|yasirabdullah:LB:1,7
2024,5,KC,cameronthomas:DE:1|cjhanson:OL:1|ethandriskell:OT:1|marlontuipulotu:DT:1,4
2024,5,LAR,brennanjackson:DE:1|codyschrader:RB:1|cooperkupp:WR:1|desjuanjohnson:WR:1|geronchristian:OT:1|stetsonbennett:QB:1|tredaviouswhite:CB:1,7
2024,5,LV,davanteadams:WR:1|decamerionricharson:CB:0|divinedeablo:LB:1|michaelmayer:TE:1|thayermunford:OT:1|tyreikmcallister:WR:1|zamirwhite:RB:1,7
2024,5,MIA,andrewmeyer:OL:1|channingtindall:LB:1|ethanbonner:CB:1|jeffwilson:RB:1|jordanpoyer:S:1|mohamedkamara:LB:1|skylarthompson:QB:1,7
2024,5,MIN,brettrypien:QB:1|dwightmcglothern:CB:1|fabianmoreau:CB:1|jalenredmond:DL:1|levidrakerodriguez:DL:1|trishtonjackson:WR:1|walterrouse:OT:1,7
2024,5,NE,jabrillpeppers:S:1|jaheimbell:TE:1|javonbaker:WR:1|joemilton:QB:1|kjosborn:WR:1|kromahjamree:DE:0|kyledugger:S:1,7
2024,5,NO,cesarruiz:OL:1|khristianboyd:DT:1|paytonturner:DE:1|petewerner:LB:1|spencerrattler:QB:1|taysomhill:TE:1|williegay:LB:1,7
2024,5,NYG,anthonyjohnson:S:1|boogiebasham:OLB:0|devinsingletary:RB:1|jakekubas:G:1|maliknabers:WR:1|tommydevito:QB:1|trehawkins:CB:1,7
2024,5,NYJ,braidenmcgregor:DL:1|cjmosley:LB:1|israelabanikanda:RB:1|jarrickbernardconverse:CB:1|malachicorley:WR:1|maxmitchell:T:1|morganmoses:T:1,7
2024,5,PIT,alexhighsmith:LB:1|cordarrellepatterson:RB/KR:1|jaylenwarren:RB:1|maxscharping:OG:1|mycolepruitt:TE:1|romanwilson:WR:1|russellwilson:QB:1,7
2024,5,SEA,boyemafe:LB:1|micaheljerrell:OT:0|myronmurphy:DT:0|oluoluwatimi:C:1|sataoalaumea:G:1,5
2024,5,SF,benbartch:OL:1|chrisconley:WR:1|darrellluter:CB:1|demetriusflanniganfowles:LB:1|jacobcowing:WR:1|joshuadobbs:QB:1,6
2024,5,TB,antoinewinfield:S:1|calijahkancey:DL:1|devinculp:TE:1|jakecamarda:P:1|jalenmcmillan:WR:1|lukegoedeke:OT:1|treypalmer:WR:1,7
2024,5,WAS,chrispaul:G:1|clelinferrell:DE:1|dominiquehampton:LB:1|jeffdriskel:QB:1|noahbrown:WR:1|samhartman:QB:1|tylerowens:S:1,7
2024,6,ARI,darrenhall:CB:1|mattprater:K:1|travisvokolek:TE:1|victordimukeje:LB:1|xavierthomas:LB:1,5
