cut,market,n,win_rate,roi_per_unit,n_2024,roi_2024,n_2025,roi_2025,validated_both_seasons_positive,signal,prob_edge_q,side
market_x_signal_x_side,rec_yards,124,0.5403225806451613,0.02189633910040474,71,0.06342322710969375,53,-0.03373402030826546,False,NO_EDGE,,UNDER
market_x_signal_x_side,rush_yards,1698,0.5341578327444052,0.005686777527603219,881,-0.013609024743757189,817,0.026494123673341925,False,STRONG_EDGE,,UNDER
market_x_signal_x_side,receptions,4732,0.536770921386306,-0.009244174135992935,2413,-0.025831285464077588,2319,0.008015290993230123,False,STRONG_EDGE,,UNDER
market_x_signal_x_side,rush_rec_yards,23,0.5217391304347826,-0.02428825113135133,21,0.0686366773323295,2,-1.0,False,LEAN_EDGE,,OVER
market_x_signal_x_side,rec_yards,1472,0.5183423913043478,-0.026502723117311344,760,-0.04462359458068838,712,-0.007160219869886409,False,STRONG_EDGE,,OVER
market_x_signal_x_side,rec_yards,3889,0.5145281563383903,-0.030211476975966586,1999,-0.06273016051438955,1890,0.004182622703032105,False,STRONG_EDGE,,UNDER
market_x_signal_x_side,rush_yards,78,0.5128205128205128,-0.0395315854428678,36,0.08239654870089655,42,-0.14404141470895154,False,LEAN_EDGE,,UNDER
market_x_signal_x_side,receptions,84,0.5357142857142857,-0.04506800481108829,44,-0.09765849059843902,40,0.012781529554997489,False,NO_EDGE,,UNDER
market_x_signal_x_side,rush_rec_yards,2106,0.5075973409306742,-0.04837802478757471,1488,-0.07406262473729572,618,0.013464507130200129,False,STRONG_EDGE,,UNDER
market_x_signal_x_side,rush_rec_yards,375,0.5066666666666667,-0.050844737393944545,320,-0.03458877073007509,55,-0.14542490707463954,False,STRONG_EDGE,,OVER
market_x_signal_x_side,rush_yards,74,0.5,-0.06586987258018344,42,0.06872560764900311,32,-0.24252644038099078,False,NO_EDGE,,UNDER
market_x_signal_x_side,receptions,83,0.4939759036144578,-0.07421749243771968,39,0.012931717111091832,44,-0.15146338271962081,False,NO_EDGE,,OVER
market_x_signal_x_side,rush_rec_yards,45,0.4888888888888889,-0.08825940565071,39,0.004070808418634503,6,-0.6884057971014492,False,NO_EDGE,,UNDER
market_x_signal_x_side,rush_yards,763,0.47182175622542594,-0.09230559508372965,392,-0.15792186251259008,371,-0.022975199309839385,False,STRONG_EDGE,,OVER
market_x_signal_x_side,rec_yards,116,0.4827586206896552,-0.09553327900213891,60,-0.06897271274082867,56,-0.12399102856782848,False,LEAN_EDGE,,OVER
market_x_signal_x_side,rec_yards,145,0.46206896551724136,-0.13412376874448376,74,-0.06772602642167859,71,-0.20332704947529473,False,NO_EDGE,,OVER
market_x_signal_x_side,rush_yards,78,0.46153846153846156,-0.1366873538224789,44,-0.20164024966396507,34,-0.05263066508643801,False,NO_EDGE,,OVER
market_x_signal_x_side,rush_rec_yards,35,0.45714285714285713,-0.14311095355554326,30,-0.1882832905716201,5,0.12792306854091748,False,LEAN_EDGE,,UNDER
market_x_signal_x_side,rush_rec_yards,42,0.4523809523809524,-0.15228370663153273,40,-0.10989789196310937,2,-1.0,False,NO_EDGE,,OVER
market_x_signal_x_side,rec_yards,117,0.4358974358974359,-0.17765457822487696,61,-0.29010530927850947,56,-0.05516360332717006,False,LEAN_EDGE,,UNDER
market_x_signal_x_side,receptions,74,0.44594594594594594,-0.2072319979509964,42,-0.08500367374235569,32,-0.3676566734748374,False,LEAN_EDGE,,OVER
market_x_signal_x_side,receptions,104,0.4230769230769231,-0.21408730603163878,55,-0.21940785718163816,49,-0.20811525882245574,False,LEAN_EDGE,,UNDER
market_x_signal_x_side,rush_yards,81,0.3950617283950617,-0.250836821841254,38,-0.3045536271508812,43,-0.20336615668390906,False,LEAN_EDGE,,OVER
signal_only,,15670,0.5227823867262285,-0.023470851164887504,8528,-0.04907920885301222,7142,0.0071071486060908734,False,STRONG_EDGE,,
signal_only,,675,0.4948148148148148,-0.07789946340423017,393,-0.03695715792256655,282,-0.13495735721378263,False,NO_EDGE,,
signal_only,,628,0.45222929936305734,-0.15674594438912937,343,-0.14660718263638112,285,-0.16894803309506848,False,LEAN_EDGE,,
side_only,,13086,0.5226195934586582,-0.02403511085368334,7159,-0.04736946298202035,5927,0.004149573959335842,False,,,UNDER
side_only,,3887,0.5070748649343967,-0.052555535888015335,2105,-0.0685225341178394,1782,-0.03369440722708402,False,,,OVER
edge_quartile_only,,4243,0.5152015083667216,-0.0152089555332224,2262,-0.05050750046503697,1981,0.025096601577208996,False,,EDGE_Q4_HIGH,
edge_quartile_only,,4243,0.5368842799905728,-0.016813181664491157,2286,-0.056348132733303774,1957,0.029368166390340546,False,,EDGE_Q3,
edge_quartile_only,,4243,0.523921753476314,-0.026384748037082507,2361,-0.040232409883884906,1882,-0.009012628153819762,False,,EDGE_Q2,
edge_quartile_only,,4244,0.5002356267672008,-0.06385165282204905,2355,-0.06170250640774408,1889,-0.06653097511198457,False,,EDGE_Q1_LOW,
