market,dimension,value,n,win_rate,roi_per_unit,n_2024,roi_2024,n_2025,roi_2025,positive_in_both_seasons_min_n,bet_pool
rush_rec_yards,home_away,AWAY,1296,0.5084876543209876,-0.0469538894965987,937,-0.05711992189700845,359,-0.020420261755139297,False,STRONG_EDGE_ONLY
rush_rec_yards,home_away,HOME,1185,0.5063291139240507,-0.050716165348328804,871,-0.0777867111655834,314,0.024374425119278686,False,STRONG_EDGE_ONLY
rush_rec_yards,week_bucket,MID_7_12,874,0.5297482837528604,-0.0069900412546242095,638,-0.011003353105029543,236,0.003859505188420716,False,STRONG_EDGE_ONLY
rush_rec_yards,week_bucket,EARLY_1_6,943,0.5047720042417816,-0.05386551427154984,702,-0.09331959455698755,241,0.06105881917399905,False,STRONG_EDGE_ONLY
rush_rec_yards,week_bucket,LATE_13_18,664,0.4819277108433735,-0.09645545287763327,468,-0.1041519179117648,196,-0.07807817922470695,False,STRONG_EDGE_ONLY
rush_rec_yards,component_sd_q,SD_Q4_HIGH,1489,0.5177971793149765,-0.02894302324809918,1010,-0.04920377730265126,479,0.013777982169641158,False,STRONG_EDGE_ONLY
rush_rec_yards,component_sd_q,SD_Q2,253,0.5177865612648221,-0.029266038503889636,210,-0.04471825620893944,43,0.04619828052077218,False,STRONG_EDGE_ONLY
rush_rec_yards,component_sd_q,SD_Q3,726,0.48484848484848486,-0.09209967614217823,580,-0.10310160831548369,146,-0.04839337024822512,False,STRONG_EDGE_ONLY
rush_rec_yards,component_sd_q,SD_Q1_LOW,13,0.38461538461538464,-0.27585096063356934,8,-0.29850131752305664,5,-0.2396103896103896,False,STRONG_EDGE_ONLY
rush_rec_yards,prob_edge_q,EDGE_Q2,531,0.5160075329566854,-0.033342079275783754,444,0.003956341999820254,87,-0.22369264302714215,False,STRONG_EDGE_ONLY
rush_rec_yards,prob_edge_q,EDGE_Q4_HIGH,1048,0.5095419847328244,-0.043402046996436516,671,-0.12290432069821025,377,0.0980993473109645,False,STRONG_EDGE_ONLY
rush_rec_yards,prob_edge_q,EDGE_Q1_LOW,333,0.5015015015015015,-0.06241213784660395,279,-0.035744536672991524,54,-0.20019474391026806,False,STRONG_EDGE_ONLY
rush_rec_yards,prob_edge_q,EDGE_Q3,569,0.4991212653778559,-0.06498710979742674,414,-0.07388570814100613,155,-0.041219240673285626,False,STRONG_EDGE_ONLY
rush_rec_yards,side,UNDER,2106,0.5075973409306742,-0.04837802478757471,1488,-0.07406262473729572,618,0.013464507130200129,False,STRONG_EDGE_ONLY
rush_rec_yards,side,OVER,375,0.5066666666666667,-0.050844737393944545,320,-0.03458877073007509,55,-0.14542490707463954,False,STRONG_EDGE_ONLY
ALL_NON_QB,home_away,HOME,7794,0.523222992045163,-0.02140230085445893,4290,-0.04504851239267282,3504,0.007548112244552933,False,LEAN_OR_STRONG
ALL_NON_QB,home_away,AWAY,8504,0.5171683913452493,-0.03520874388176242,4581,-0.06015621885575216,3923,-0.006076859391360423,False,LEAN_OR_STRONG
ALL_NON_QB,week_bucket,MID_7_12,5433,0.526044542609976,-0.0156765126452419,2995,-0.024431313226663844,2438,-0.004921538182010258,False,LEAN_OR_STRONG
ALL_NON_QB,week_bucket,LATE_13_18,5048,0.5196117274167987,-0.03216660039429437,2709,-0.07440451732163103,2339,0.01675281685929903,False,LEAN_OR_STRONG
ALL_NON_QB,week_bucket,EARLY_1_6,5817,0.5148702080110023,-0.03759277958366224,3167,-0.061288328451092645,2650,-0.00927436325794449,False,LEAN_OR_STRONG
ALL_NON_QB,component_sd_q,SD_Q1_LOW,4123,0.5425660926509823,-0.005764186949811555,2068,-0.016156493836677607,2055,0.004693862024416667,False,LEAN_OR_STRONG
ALL_NON_QB,component_sd_q,SD_Q4_HIGH,4048,0.5185276679841897,-0.02455801440319223,2383,-0.05916944360059253,1665,0.024978944021675602,False,LEAN_OR_STRONG
ALL_NON_QB,component_sd_q,SD_Q2,4093,0.5140483752748595,-0.034707664997705744,2174,-0.056501588476740215,1919,-0.010017727716089836,False,LEAN_OR_STRONG
ALL_NON_QB,component_sd_q,SD_Q3,4034,0.5047099652949926,-0.049823905031322675,2246,-0.0763966562955799,1788,-0.01644448705619865,False,LEAN_OR_STRONG
ALL_NON_QB,prob_edge_q,EDGE_Q4_HIGH,4243,0.5152015083667216,-0.0152089555332224,2262,-0.05050750046503697,1981,0.025096601577208996,False,LEAN_OR_STRONG
ALL_NON_QB,prob_edge_q,EDGE_Q3,4243,0.5368842799905728,-0.016813181664491157,2286,-0.056348132733303774,1957,0.029368166390340546,False,LEAN_OR_STRONG
ALL_NON_QB,prob_edge_q,EDGE_Q2,4243,0.523921753476314,-0.026384748037082507,2361,-0.040232409883884906,1882,-0.009012628153819762,False,LEAN_OR_STRONG
ALL_NON_QB,prob_edge_q,EDGE_Q1_LOW,3569,0.5012608573830205,-0.06119480996887666,1962,-0.06665914348963743,1607,-0.05452335858883145,False,LEAN_OR_STRONG
ALL_NON_QB,side,UNDER,12759,0.5226114899286778,-0.02387388121721165,6963,-0.049169797224806196,5796,0.0065152601148933936,False,LEAN_OR_STRONG
ALL_NON_QB,side,OVER,3539,0.510878779316191,-0.04566765763768214,1908,-0.06628116282308254,1631,-0.021553268984252354,False,LEAN_OR_STRONG
rush_yards,home_away,HOME,1245,0.5132530120481927,-0.025410242719649465,646,-0.08135600593883086,599,0.034925254842272366,False,LEAN_OR_STRONG
rush_yards,home_away,AWAY,1375,0.509090909090909,-0.038209828985263365,701,-0.04271854942396843,674,-0.033520492149162105,False,LEAN_OR_STRONG
rush_yards,week_bucket,LATE_13_18,827,0.5199516324062878,-0.017268072632445133,413,-0.01731222854937064,414,-0.01722402337232378,False,LEAN_OR_STRONG
rush_yards,week_bucket,MID_7_12,866,0.5103926096997691,-0.026442499487745463,455,-0.04583854242922285,411,-0.004969994528202385,False,LEAN_OR_STRONG
rush_yards,week_bucket,EARLY_1_6,927,0.5037756202804746,-0.05069510940375515,479,-0.11376867596346583,448,0.016742922699149804,False,LEAN_OR_STRONG
rush_yards,component_sd_q,SD_Q4_HIGH,998,0.5190380761523046,-0.02124787573427183,526,-0.0777887959777528,472,0.04176170911333621,False,LEAN_OR_STRONG
rush_yards,component_sd_q,SD_Q2,670,0.5164179104477612,-0.02201530194634364,351,-0.07869739097573653,319,0.040352764665935036,False,LEAN_OR_STRONG
rush_yards,component_sd_q,SD_Q3,908,0.5055066079295154,-0.04632571272754641,441,-0.022458097622250234,467,-0.06886450986124151,False,LEAN_OR_STRONG
rush_yards,component_sd_q,SD_Q1_LOW,44,0.36363636363636365,-0.13988380902806916,29,-0.13993003498250872,15,-0.1397944388494861,False,LEAN_OR_STRONG
rush_yards,prob_edge_q,EDGE_Q3,475,0.52,-0.017561968045911012,248,-0.06780130808882562,227,0.03732506424766969,False,LEAN_OR_STRONG
rush_yards,prob_edge_q,EDGE_Q4_HIGH,645,0.5131782945736434,-0.021424249219104616,348,-0.08713154278233581,297,0.055566114955994554,False,LEAN_OR_STRONG
rush_yards,prob_edge_q,EDGE_Q1_LOW,824,0.5145631067961165,-0.029698657675900433,407,-0.03489080089870602,417,-0.02463102628097986,False,LEAN_OR_STRONG
