season,week,team,opponent,player_clean_key,actual_pass_yards,actual_attempts,pred_pass_yards,pred_attempts,pred_ypa,actual_qb_attempt_share,actual_ypa,implied_pred_ypa,det_pass_yards
2024,4,TB,PHI,bakermayfield,347,47,207.3841549,28.49119664,7.252320371,1,7.382978723,7.278885387,206.6272858
2024,4,WAS,ARI,jaydendaniels,233,30,206.7181773,27.48041415,7.483240235,1,7.766666667,7.522382163,205.6425409
2024,5,ARI,SF,kylermurray,195,30,206.7393375,30.41351348,6.842014202,1,6.5,6.79761441,208.0896912
2024,5,ATL,TB,kirkcousins,509,58,238.4601392,33.00324187,7.195337294,0.9830508475,8.775862069,7.225355018,237.469457
2024,5,BAL,CIN,lamarjackson,348,42,228.4235128,29.03682764,7.936696971,1,8.285714286,7.866682807,230.456502
2024,5,BUF,HOU,joshallen,131,30,201.0328775,27.05939188,7.444210978,1,4.366666667,7.429319857,201.4358221
2024,5,CHI,CAR,calebwilliams,304,29,209.411982,33.78054647,6.236293785,1,10.48275862,6.199188701,210.665412
2024,5,CIN,BAL,joeburrow,392,39,204.6352322,31.72968782,6.461632645,1,10.05128205,6.449330146,205.0255866
2024,5,CLE,WAS,deshaunwatson,125,28,191.7531514,31.94706951,6.008082842,0.9655172414,4.464285714,6.002214109,191.9406402
2024,5,DAL,PIT,dakprescott,352,42,245.5877634,34.72136323,7.148951637,1,8.380952381,7.073102566,248.2213465
2024,5,DEN,LV,bonix,206,27,184.9073648,31.02674955,5.936076813,1,7.62962963,5.959611221,184.1771686
2024,5,GB,LAR,jordanlove,224,26,223.2115563,31.25663217,7.117623144,1,8.615384615,7.141254217,222.4729286
2024,5,HOU,BUF,cjstroud,331,38,236.0820044,31.01531841,7.613101372,1,8.710526316,7.611787224,236.1227631
2024,5,JAX,IND,trevorlawrence,371,34,208.1156291,30.13446461,6.884045161,1,10.91176471,6.906232838,207.4470153
2024,5,KC,NO,patrickmahomes,331,39,216.3859818,30.53006117,7.082826991,1,8.487179487,7.087636694,216.2391413
2024,5,LAR,GB,matthewstafford,260,45,252.7414408,33.2665261,7.518847634,1,5.777777778,7.597470203,250.1259411
2024,5,MIN,NYJ,samdarnold,179,31,179.2448282,29.10127828,6.167488956,0.96875,5.774193548,6.159345526,179.4818124
2024,5,NE,MIA,jacobybrissett,160,34,200.756713,29.03657402,6.901112828,1,4.705882353,6.913925619,200.3846735
2024,5,NO,KC,derekcarr,165,28,228.0017424,31.09450276,7.290558733,0.8,5.892857143,7.332541839,226.6962986
2024,5,NYG,SEA,danieljones,257,34,202.313147,33.38148954,6.047996911,1,7.558823529,6.060638691,201.8911456
